size,a_binary,b_binary,ind_binary,a_count,b_count,ind_count
Small x Small,0.1088827,0.241712066,0.026318262,0.3137607,0.08354102,0.026211889
Small x Mod,0.1088827,0.621712066,0.067693688,0.3137607,0.2645102,0.082992906
Small x Large,0.1088827,1.069712066,0.116473138,0.3137607,0.48954102,0.153598733
Mod x Small,0.2367356,0.241004043,0.057054237,0.7171247,0.08291549,0.059460746
Mod x Mod,0.2367356,0.621004043,0.147013765,0.7171247,0.2639155,0.189260324
Mod x Large,0.2367356,1.069004043,0.253071313,0.7171247,0.4889155,0.350613381
Large x Small,0.2969289,0.2409007,0.07153038,2.010669,0.084162977,0.169223889
Large x Mod,0.2969289,0.6209007,0.184363362,2.010669,0.265162928,0.533154879
Large x Large,0.2969289,1.068901,0.317387598,2.010669,0.490162928,0.985555404
